Pomenik;30083
Clearance Clarence;10000
james;9377
Vector Victor;9000
Roger Roger;8000
testPilot;7424
jertyrano;7117
IkGingBestPrima;6913
WillemRevived;6080
Arkuan;5284
jerry;4427
Willie;3460
Deedmebest;2999
;2515
GekkeMan;2514
Arjuan;2234
Palauinian;2028
Arjuan;1581
bot1;1000
bot2;900
